configuration,source,device_key,power_scope,method,dice_before,dice_after,mi_before,mi_after,ssim_deformed_fixed,ssim_deformed_moving,tre_before_mm,tre_mm,tre_median_mm,tre_label_count,model_inference_ms,postprocess_ms,total_runtime_ms,energy_j,dynamic_energy_j,cpu_energy_j,cpu_dynamic_energy_j,gpu_energy_j,gpu_dynamic_energy_j,power_mean_w,process_rss_delta_mb,gpu_power_peak_w,process_rss_peak_mb,power_wall_time_s,cpu_power_mean_w,gpu_power_mean_w,cpu_power_peak_w,cpu_power_samples,gpu_power_samples,power_repetitions
FPGA DPU,fpga,fpga,FPGA board: quantized DPU,v4_axial,0.5711658563878801,0.7122413118680319,0.5154772616290277,0.6042501354206409,0.7402020361688402,0.8558604121208191,3.724227907756964,2.519741986050374,2.1080315046840243,16.0,574.7458854069313,98207.04230883469,98781.78819424163,180.7331519007296,15.966466098645794,106.18423137789348,15.88372679490945,74.54892052283611,0.08273930373634544,1.8200824237947337,67.95703125,1.5,1511.73046875,,,,,,,
FPGA DPU,fpga,fpga,FPGA board: quantized DPU,v4_mean_fused,0.5711658563878801,0.7647204928927951,0.5154772616290277,0.5957030904177736,0.7415111396047804,0.8239846958054436,3.724227907756964,2.024758628052142,1.6038111183378432,16.0,1828.4826344396506,98065.5055219411,99893.98815638076,186.6264488272313,16.57542580346655,109.47001451918709,16.27821094119174,77.15643430804417,0.2972148622748107,1.8211245193409478,71.92230902777777,1.5,1516.15625,,,,,,,
FPGA DPU,fpga,fpga,FPGA board: quantized DPU,v4_smoothed_0p75,0.5711658563878801,0.7598921921518114,0.5154772616290277,0.5994624841719722,0.7398014664649963,0.8411332898669772,3.724227907756964,2.0363096073269844,1.7187508874469333,16.0,1828.4826344396506,98183.3262503561,100011.80888479576,186.9127243614229,16.666169229500255,109.66791395929607,16.36895436722544,77.24481040212684,0.2972148622748107,1.8218199568664788,57.3828125,1.5,1496.74609375,,,,,,,
FPGA ARM CPU,fpga,cpu,FPGA board: floating-point ARM CPU,v4_axial,0.5711658563878801,0.715980072816213,0.5154772616290277,0.6063019034591357,0.7405103047688802,0.8572142720222473,3.724227907756964,2.4995285204301276,2.054314931233724,16.0,9459.82585619721,97995.13048647593,107454.95634267313,200.29384452043885,21.659201265567358,119.55502271032745,21.659201265567358,80.7388218101114,0.0,1.8605749550958979,7.791232638888889,0.0,1557.6640625,,,,,,,
FPGA ARM CPU,fpga,cpu,FPGA board: floating-point ARM CPU,v4_mean_fused,0.5711658563878801,0.7638261649343703,0.5154772616290277,0.5942161054640384,0.7416040235095553,0.8249990344047546,3.724227907756964,2.007902826906906,1.5539877282248602,16.0,30016.753724103586,98022.6531149302,128039.40683903379,244.06197481557663,29.095029691371572,146.9017736294953,29.095029691371572,97.1602011860814,0.0,1.8839939104294388,-58.451388888888886,0.0,1502.04296875,,,,,,,
FPGA ARM CPU,fpga,cpu,FPGA board: floating-point ARM CPU,v4_smoothed_0p75,0.5711658563878801,0.7591860890388489,0.5154772616290277,0.598809228902439,0.7401278614997864,0.8425918685065376,3.724227907756964,2.013903217804101,1.6722063422203064,16.0,30016.753724103586,98071.15507182768,128087.90879593127,244.1901670816549,29.142775134913038,146.99360574979417,29.142775134913038,97.19656133186072,0.0,1.8842746775013697,-15.467881944444445,0.0,1552.3515625,,,,,,,
Local CPU,local,cpu,Local WSL: Ryzen host CPU,v4_axial,0.5711658563878801,0.7159800661934747,0.5154772616290277,0.6063019308475839,0.7405102451642355,0.8572141660584344,3.724227897822857,2.4995251370386944,2.054313931200239,16.0,180.53679044411788,2743.7403178887002,2924.277108332818,212.6612626517257,5.074625946187593,212.6612626517257,5.074625946187593,,,72.1978106995607,66.44401041666667,,2126.7578125,2.9455494505552147,72.1978106995607,,124.7,256.0,0.0,1.0
Local CPU,local,cpu,Local WSL: Ryzen host CPU,v4_mean_fused,0.5711658563878801,0.7638268139627244,0.5154772616290277,0.5942159385856765,0.7416038910547892,0.82499893506368,3.724227897822857,2.0079149357560606,1.5540513396263123,16.0,573.005395777121,2772.5209055552114,3345.5263013323324,226.02702551861242,9.50962245802025,226.02702551861242,9.50962245802025,,,65.76561676389413,113.31640625,,2412.9375,3.4370356593343683,65.76561676389413,,124.7,311.0,0.0,1.0
Local CPU,local,cpu,Local WSL: Ryzen host CPU,v4_smoothed_0p75,0.5711658563878801,0.7591865460077921,0.5154772616290277,0.5988092433047242,0.7401276297039456,0.8425917161835564,3.724227897822857,2.0138885558893285,1.6721955868932936,16.0,573.005395777121,2767.2991580002417,3340.304553777363,227.4438382347577,10.014706762970606,227.4438382347577,10.014706762970606,,,66.25363606669208,92.43012152777777,,2399.484375,3.4318806884451383,66.25363606669208,,124.7,309.0,0.0,1.0
Local CUDA GPU,local,cuda,Local WSL: RTX 4070 Ti,v4_axial,0.5711658563878801,0.715973867310418,0.5154772616290277,0.6063025274869855,0.7405095563994514,0.8572221000989279,3.724227897822857,2.4994013114935822,2.0547104875246682,16.0,19.047378804599347,2498.11059199985,2517.1579708044496,275.2860475971677,23.33795623070827,177.86676797670737,23.281403378984578,97.4192796204604,0.05655285172369203,108.38366477448442,-10.882378472222221,89.363,2510.6953125,2.5422340781070427,70.0538134522404,38.32985132224402,111.6,315.0,315.0,25.0
Local CUDA GPU,local,cuda,Local WSL: RTX 4070 Ti,v4_mean_fused,0.5711658563878801,0.7638327545589871,0.5154772616290277,0.5942158265408075,0.7416031294398837,0.8250057167477078,3.724227897822857,2.0078791030165224,1.5537990464104547,16.0,53.00639305368046,2522.0285155555757,2575.034908609256,260.44290428375706,8.161448366519956,165.79563580286828,7.588293836870387,94.64726848088883,0.5731545296495677,97.27420962063655,36.111111111111114,96.989,2575.578125,2.677579883444487,61.92060879968575,35.353600820950795,111.6,556.0,556.0,25.0
Local CUDA GPU,local,cuda,Local WSL: RTX 4070 Ti,v4_smoothed_0p75,0.5711658563878801,0.7591888507207235,0.5154772616290277,0.5988100543603451,0.7401266760296292,0.8425998091697693,3.724227897822857,2.013912350663708,1.6717092990875244,16.0,53.00639305368046,2520.609061999898,2573.6154550535784,263.0537719722522,5.221720521556215,162.1032900995257,4.388235949236053,100.95048187272653,0.8334845723201609,98.31147461870202,21.25737847222222,96.989,2655.20703125,2.6761391814443294,60.57582687966725,37.73564773903478,111.6,559.0,559.0,25.0
